dw_site_visitor_id,variant_id,expmt_expsr_utc_ts_epoch
357883990,3325,1517438557.206
357970602,3324,1517430054.097
358334093,3324,1517518145.945
358543039,3324,1517501824.422
358334093,3324,1517518233.808
358283859,3324,1517454272.163
358622859,3324,1517517592.459
341411335,3324,1517491428.562
358622859,3324,1517517596.72
358237974,3324,1517513818.928
358482801,3325,1517499959.396
358456658,3324,1517469787.401
345658359,3325,1517521608.43
358622859,3324,1517517590.845
358445579,3325,1517473798.691
358413051,3325,1517458980.517
358607728,3324,1517500578.541
345658359,3325,1517521602.118
358622859,3324,1517517589.329
287748394,3324,1517476447.699
358334093,3324,1517518252.752
358545980,3325,1517501699.459
341411335,3324,1517491431.845
358257053,3324,1517515506.443
358616304,3325,1517501148.951
358607728,3324,1517500568.497
358445579,3325,1517473850.583
358240412,3324,1517497979.257
358287735,3324,1517493637.469
350524854,3324,1517456182.629
358622859,3324,1517517669.569
358622859,3324,1517517632.437
358237974,3324,1517513824.128
358456658,3324,1517469782.108
315712907,3325,1517450182.473
358334093,3324,1517518207.482
178701124,3324,1517483864.617
358283859,3324,1517454270.238
342349923,3324,1517484777.002
341411335,3324,1517491435.489
358616304,3325,1517501145.333
358622859,3324,1517517563.279
358334093,3324,1517518218.536
358445579,3325,1517473709.622
358601691,3324,1517462946.342
358237974,3324,1517513808.33
358413051,3325,1517458996.343
345776025,3324,1517456252.877
287748394,3324,1517476396.183
358443549,3324,1517510309.957
358301841,3325,1517515260.806
358445579,3325,1517473738.894
358374325,3324,1517480447.061
358334093,3324,1517518189.799
358445579,3325,1517473823.812
358651470,3325,1517593383.207
358651470,3325,1517593356.467
358930910,3325,1517603601.905
358761053,3325,1517592395.927
355081123,3324,1517570251.9
358733589,3324,1517588259.103
358930910,3325,1517603630.752
358651470,3325,1517593370.298
358930910,3325,1517603678.591
358733589,3324,1517588271.931
358849808,3325,1517540422.065
353493533,3324,1517562822.022
358733589,3324,1517588285.881
358713038,3324,1517581027.999
345274995,3325,1517542200.302
358954425,3325,1517601059.068
358621776,3324,1517592351.052
358888064,3324,1517590916.268
358954425,3325,1517601062.523
358676760,3325,1517603238.011
358804940,3325,1517602089.176
358621776,3324,1517592691.012
358730703,3325,1517564520.699
358668860,3325,1517601175.757
358730703,3325,1517564524.09
358668860,3325,1517601169.897
358804940,3325,1517602057.739
358891971,3325,1517605823.794
353493533,3324,1517562854.27
353493533,3324,1517562833.691
345274995,3325,1517542239.63
358733589,3324,1517588279.368
358979658,3325,1517596185.818
358493851,3325,1517533289.875
358676760,3325,1517603212.963
358761053,3325,1517592415.567
358930910,3325,1517603666.403
358621776,3324,1517592688.898
353493533,3324,1517562842.047
358733589,3324,1517588282.609
358761053,3325,1517592443.682
358733589,3324,1517588263.077
345274995,3325,1517542226.902
358761053,3325,1517592478.654
358713038,3324,1517580856.392
358930910,3325,1517603608.908
358756184,3324,1517619540.718
358645242,3325,1517619578.339
358645242,3325,1517619566.114
358645242,3325,1517619675.874
358645242,3325,1517619430.851
359054658,3325,1517620999.055
359137604,3324,1517647277.027
359054658,3325,1517621013.249
359237693,3324,1517649762.724
359083996,3325,1517675223.682
359290643,3325,1517688858.384
359058744,3325,1517689130.66
308481911,3324,1517688810.046
359223229,3325,1517698692.216
308481911,3324,1517690152.524
316493226,3324,1517626050.223
355599679,3324,1517683074.249
359058285,3324,1517692682.278
359201899,3324,1517697497.551
359368449,3324,1517641582.423
359323847,3324,1517669356.062
359054658,3325,1517621027.631
359326243,3324,1517621504.702
359035966,3324,1517689186.631
359237693,3324,1517649781.638
334517134,3324,1517684386.722
316493226,3324,1517626061.343
359054658,3325,1517621034.866
316493226,3324,1517626039.216
359101828,3325,1517687193.507
351637225,3324,1517620776.605
359201899,3324,1517697493.632
308481911,3324,1517690154.491
331144017,3325,1517621809.513
331144017,3325,1517621774.003
359319232,3324,1517663531.148
359101828,3325,1517687222.169
359058744,3325,1517689135.791
359201899,3324,1517697485.437
359336475,3325,1517704672.565
359395402,3324,1517751404.188
359395402,3324,1517751439.596
359704656,3324,1517756477.881
359625520,3324,1517781753.774
359395402,3324,1517751451.696
359395402,3324,1517751403.109
359078764,3324,1517780968.55
359721663,3325,1517757849.095
359395402,3324,1517751409.146
359395402,3324,1517751377.439
359395402,3324,1517751400.827
359702550,3324,1517781994.354
359395402,3324,1517751398.889
359493505,3325,1517766129.442
359395402,3324,1517751423.109
264555737,3324,1517765048.371
252834214,3325,1517750863.485
359535078,3325,1517739930.808
171842076,3324,1517763550.903
357953878,3325,1517762327.812
359078764,3324,1517780920.745
359629960,3324,1517714036.814
359721663,3325,1517757834.097
359078764,3324,1517781551.951
359395402,3324,1517751407.51
253753866,3324,1517773284.287
359657698,3324,1517762925.527
359395402,3324,1517751366.918
359609466,3325,1517725287.718
359704656,3324,1517756507.464
359395402,3324,1517751408.05
359395402,3324,1517751414.811
359395402,3324,1517751399.926
359078764,3324,1517780964.798
359702550,3324,1517782003.469
359395402,3324,1517751333.492
171842076,3324,1517763562.797
359695519,3324,1517788954.143
359695519,3324,1517788996.131
359811157,3324,1517847445.183
360015541,3324,1517841757.465
360064889,3325,1517851376.836
359811157,3324,1517847417.617
359836236,3325,1517859533.952
359785394,3324,1517853638.447
360138342,3325,1517797665.274
191814318,3324,1517850548.255
360075483,3325,1517818791.1
359836236,3325,1517859559.925
360046014,3324,1517847300.553
359836236,3325,1517859529.498
359785394,3324,1517853716.213
276703333,3324,1517872157.475
