model_idx,tree_idx,node_idx,lchild_idx,rchild_idx,feature_idx,threshold,neg,pos
0,6,4,-1,-1,-2,-2.0,18,3
0,6,5,6,9,4,0.905264520973556,143,96
0,6,6,7,8,13,0.0027613883521259057,16,16
0,6,7,-1,-1,-2,-2.0,11,8
0,6,8,-1,-1,-2,-2.0,5,8
0,6,9,10,25,0,739.5664725362167,127,80
0,6,10,11,22,8,2460.982505918938,106,38
0,6,11,12,19,8,1163.983578807201,85,23
0,6,12,13,16,2,0.21066568921168893,61,11
0,6,13,14,15,9,345.12452587597,37,7
0,6,14,-1,-1,-2,-2.0,20,3
0,6,15,-1,-1,-2,-2.0,17,4
0,6,16,17,18,10,5307.2057953994745,24,4
0,6,17,-1,-1,-2,-2.0,12,3
0,6,18,-1,-1,-2,-2.0,12,1
0,6,19,20,21,13,0.010622277986462349,24,12
0,6,20,-1,-1,-2,-2.0,14,9
0,6,21,-1,-1,-2,-2.0,10,3
0,6,22,23,24,0,697.0496581970013,21,15
0,6,23,-1,-1,-2,-2.0,13,2
0,6,24,-1,-1,-2,-2.0,8,13
0,6,25,26,31,7,0.7588176819304087,21,42
0,6,26,27,30,3,0.837424093316041,13,31
0,6,27,28,29,8,2663.547695485199,6,24
0,6,28,-1,-1,-2,-2.0,4,9
0,6,29,-1,-1,-2,-2.0,2,15
0,6,30,-1,-1,-2,-2.0,7,7
0,6,31,-1,-1,-2,-2.0,8,11
0,6,32,33,34,6,1.9588415273273556,96,6
0,6,33,-1,-1,-2,-2.0,32,4
0,6,34,35,36,0,622.8482300703638,64,2
0,6,35,-1,-1,-2,-2.0,28,0
0,6,36,37,38,13,0.012795180315027452,36,2
0,6,37,-1,-1,-2,-2.0,21,1
0,6,38,-1,-1,-2,-2.0,15,1
0,7,0,1,38,6,3.184904840395276,271,107
0,7,1,2,35,6,1.9647880596876088,232,107
0,7,2,3,32,6,0.6596699308881862,207,105
0,7,3,4,23,0,729.0269680367908,175,101
0,7,4,5,20,8,3907.146813603652,132,37
0,7,5,6,11,8,510.95792389612546,113,30
0,7,6,7,10,13,0.027728722639342368,47,4
0,7,7,8,9,0,695.7881032730397,36,1
0,7,8,-1,-1,-2,-2.0,22,0
0,7,9,-1,-1,-2,-2.0,14,1
0,7,10,-1,-1,-2,-2.0,11,3
0,7,11,12,19,0,704.9459838503719,66,26
0,7,12,13,18,2,0.6088786566631893,49,12
0,7,13,14,17,3,0.027505024349086464,37,10
0,7,14,15,16,5,6.307256176279512,29,5
0,7,15,-1,-1,-2,-2.0,16,4
0,7,16,-1,-1,-2,-2.0,13,1
0,7,17,-1,-1,-2,-2.0,8,5
0,7,18,-1,-1,-2,-2.0,12,2
0,7,19,-1,-1,-2,-2.0,17,14
0,7,20,21,22,13,0.00717570294100924,19,7
0,7,21,-1,-1,-2,-2.0,9,4
0,7,22,-1,-1,-2,-2.0,10,3
0,7,23,24,27,9,1567.7934072758273,43,64
0,7,24,25,26,4,3.540480291256905,22,32
0,7,25,-1,-1,-2,-2.0,16,23
0,7,26,-1,-1,-2,-2.0,6,9
0,7,27,28,31,5,7.957945524229642,21,32
0,7,28,29,30,4,0.3260729160746899,15,18
0,7,29,-1,-1,-2,-2.0,10,9
0,7,30,-1,-1,-2,-2.0,5,9
0,7,31,-1,-1,-2,-2.0,6,14
0,7,32,33,34,5,7.4772139920281315,32,4
0,7,33,-1,-1,-2,-2.0,21,0
0,7,34,-1,-1,-2,-2.0,11,4
0,7,35,36,37,6,2.3794488256701496,25,2
0,7,36,-1,-1,-2,-2.0,13,1
0,7,37,-1,-1,-2,-2.0,12,1
0,7,38,-1,-1,-2,-2.0,39,0
0,8,0,1,2,0,545.0890628258181,271,107
0,8,1,-1,-1,-2,-2.0,20,0
0,8,2,3,6,0,643.9583166241451,251,107
0,8,3,4,5,2,0.616376217087645,53,1
0,8,4,-1,-1,-2,-2.0,36,0
0,8,5,-1,-1,-2,-2.0,17,1
0,8,6,7,36,14,9.32233068408553,198,106
0,8,7,8,29,0,744.0163166718634,187,104
0,8,8,9,28,10,36242.36567329725,157,59
0,8,9,10,21,0,703.2821061114232,147,51
0,8,10,11,18,10,6764.059271087897,93,16
0,8,11,12,15,8,549.0329449582067,61,8
0,8,12,13,14,9,169.63352924614844,29,2
0,8,13,-1,-1,-2,-2.0,17,1
0,8,14,-1,-1,-2,-2.0,12,1
0,8,15,16,17,8,1891.5998029059729,32,6
0,8,16,-1,-1,-2,-2.0,20,4
0,8,17,-1,-1,-2,-2.0,12,2
0,8,18,19,20,0,679.8951859813627,32,8
0,8,19,-1,-1,-2,-2.0,15,2
0,8,20,-1,-1,-2,-2.0,17,6
0,8,21,22,25,13,0.009122979156002527,54,35
0,8,22,23,24,9,1356.9383498592947,30,27
0,8,23,-1,-1,-2,-2.0,22,13
0,8,24,-1,-1,-2,-2.0,8,14
0,8,25,26,27,5,3.7292102099066646,24,8
0,8,26,-1,-1,-2,-2.0,11,5
0,8,27,-1,-1,-2,-2.0,13,3
0,8,28,-1,-1,-2,-2.0,10,8
0,8,29,30,31,9,1414.983840075314,30,45
0,8,30,-1,-1,-2,-2.0,7,17
0,8,31,32,35,2,0.10769921393633726,23,28
0,8,32,33,34,0,797.9052513218044,21,12
0,8,33,-1,-1,-2,-2.0,15,5
0,8,34,-1,-1,-2,-2.0,6,7
0,8,35,-1,-1,-2,-2.0,2,16
0,8,36,-1,-1,-2,-2.0,11,2
0,9,0,1,2,0,616.452201463027,271,107
0,9,1,-1,-1,-2,-2.0,51,0
0,9,2,3,34,6,2.72108142903125,220,107
0,9,3,4,11,8,771.5370677674828,190,106
0,9,4,5,8,8,405.9646935975015,62,9
0,9,5,6,7,2,0.04047694772455242,39,2
0,9,6,-1,-1,-2,-2.0,15,1
0,9,7,-1,-1,-2,-2.0,24,1
0,9,8,9,10,8,562.0683579659408,23,7
0,9,9,-1,-1,-2,-2.0,10,4
0,9,10,-1,-1,-2,-2.0,13,3
0,9,11,12,21,0,717.5295693839572,128,97
0,9,12,13,20,0,706.576901116677,75,22
0,9,13,14,19,6,0.8360727479849349,65,16
0,9,14,15,16,0,666.1386372931947,45,14
0,9,15,-1,-1,-2,-2.0,17,2
0,9,16,17,18,0,687.2701438024035,28,12
0,9,17,-1,-1,-2,-2.0,11,4
0,9,18,-1,-1,-2,-2.0,17,8
0,9,19,-1,-1,-2,-2.0,20,2
0,9,20,-1,-1,-2,-2.0,10,6
0,9,21,22,23,0,728.0950115314196,53,75
0,9,22,-1,-1,-2,-2.0,10,11
0,9,23,24,31,0,766.7915619564203,43,64
0,9,24,25,30,7,0.34824595104355643,22,41
0,9,25,26,29,10,19784.524051697237,19,28
0,9,26,27,28,2,0.1395980488862822,13,13
0,9,27,-1,-1,-2,-2.0,7,6
0,9,28,-1,-1,-2,-2.0,6,7
0,9,29,-1,-1,-2,-2.0,6,15
0,9,30,-1,-1,-2,-2.0,3,13
0,9,31,32,33,0,787.569707587161,21,23
0,9,32,-1,-1,-2,-2.0,13,10
0,9,33,-1,-1,-2,-2.0,8,13
0,9,34,35,36,8,3261.2527614390724,30,1
0,9,35,-1,-1,-2,-2.0,18,0
0,9,36,-1,-1,-2,-2.0,12,1
0,10,0,1,18,8,2222.207149814445,271,107
0,10,1,2,9,8,672.8452687937977,165,42
0,10,2,3,8,6,0.6906541980293832,78,8
0,10,3,4,5,9,181.00517494837064,63,8
0,10,4,-1,-1,-2,-2.0,26,1
0,10,5,6,7,0,708.3663879802294,37,7
0,10,6,-1,-1,-2,-2.0,24,2
0,10,7,-1,-1,-2,-2.0,13,5
0,10,8,-1,-1,-2,-2.0,15,0
0,10,9,10,13,9,600.159885635959,87,34
0,10,10,11,12,10,7369.464139486414,38,9
0,10,11,-1,-1,-2,-2.0,24,1
0,10,12,-1,-1,-2,-2.0,14,8
0,10,13,14,15,0,678.8708348315539,49,25
