true_probability_control,Bayesian_CDF
0.177424131345,0.73
0.177540894845,0.731
0.177657916059,0.732
0.177775197095,0.733
0.177892740083,0.734
0.178010547173,0.735
0.178128620541,0.736
0.178246962383,0.737
0.178365574918,0.738
0.178484460391,0.739
0.178603621067,0.74
0.178723059238,0.741
0.17884277722,0.742
0.178962777353,0.743
0.179083062002,0.744
0.179203633559,0.745
0.179324494441,0.746
0.179445647092,0.747
0.179567093983,0.748
0.179688837612,0.749
0.179810880504,0.75
0.179933225212,0.751
0.18005587432,0.752
0.180178830438,0.753
0.180302096208,0.754
0.180425674301,0.755
0.180549567417,0.756
0.180673778289,0.757
0.180798309681,0.758
0.180923164388,0.759
0.181048345239,0.76
0.181173855095,0.761
0.181299696851,0.762
0.181425873436,0.763
0.181552387813,0.764
0.181679242982,0.765
0.181806441976,0.766
0.181933987868,0.767
0.182061883766,0.768
0.182190132816,0.769
0.182318738202,0.77
0.182447703148,0.771
0.182577030917,0.772
0.182706724812,0.773
0.182836788178,0.774
0.182967224401,0.775
0.183098036911,0.776
0.183229229179,0.777
0.183360804722,0.778
0.1834927671,0.779
0.18362511992,0.78
0.183757866836,0.781
0.183891011546,0.782
0.184024557801,0.783
0.184158509396,0.784
0.18429287018,0.785
0.18442764405,0.786
0.184562834955,0.787
0.184698446899,0.788
0.184834483936,0.789
0.184970950178,0.79
0.185107849791,0.791
0.185245186998,0.792
0.185382966079,0.793
0.185521191374,0.794
0.185659867283,0.795
0.185798998265,0.796
0.185938588845,0.797
0.186078643608,0.798
0.186219167207,0.799
0.186360164357,0.8
0.186501639844,0.801
0.18664359852,0.802
0.18678604531,0.803
0.186928985206,0.804
0.187072423278,0.805
0.187216364666,0.806
0.187360814587,0.807
0.187505778337,0.808
0.187651261289,0.809
0.187797268897,0.81
0.187943806698,0.811
0.188090880311,0.812
0.188238495442,0.813
0.188386657885,0.814
0.188535373522,0.815
0.188684648326,0.816
0.188834488365,0.817
0.1889848998,0.818
0.18913588889,0.819
0.189287461993,0.82
0.189439625569,0.821
0.18959238618,0.822
0.189745750497,0.823
0.189899725296,0.824
0.190054317466,0.825
0.190209534007,0.826
0.190365382036,0.827
0.190521868789,0.828
0.190679001621,0.829
0.190836788013,0.83
0.19099523557,0.831
0.191154352029,0.832
0.191314145259,0.833
0.191474623264,0.834
0.191635794186,0.835
0.191797666312,0.836
0.191960248072,0.837
0.192123548047,0.838
0.192287574968,0.839
0.192452337726,0.84
0.19261784537,0.841
0.192784107112,0.842
0.192951132335,0.843
0.193118930593,0.844
0.193287511618,0.845
0.193456885321,0.846
0.1936270618,0.847
0.193798051345,0.848
0.193969864439,0.849
0.194142511768,0.85
0.194316004222,0.851
0.194490352903,0.852
0.19466556913,0.853
0.194841664444,0.854
0.195018650616,0.855
0.195196539651,0.856
0.195375343794,0.857
0.19555507554,0.858
0.195735747636,0.859
0.195917373094,0.86
0.196099965191,0.861
0.196283537485,0.862
0.196468103815,0.863
0.196653678314,0.864
